iter 1930: loss 3.8121, time 1365.48ms, mfu 29.48%
iter 1940: loss 3.7740, time 1355.38ms, mfu 29.35%
iter 1950: loss 3.6533, time 1290.71ms, mfu 29.37%
iter 1960: loss 3.6587, time 1486.24ms, mfu 28.99%
iter 1970: loss 3.6266, time 1000.03ms, mfu 29.91%
iter 1980: loss 3.6429, time 1185.50ms, mfu 30.13%
iter 1990: loss 3.7826, time 1130.19ms, mfu 30.49%
iter 2000: loss 3.8692, time 77377.35ms, mfu 27.49%
iter 2010: loss 3.7402, time 1417.66ms, mfu 27.43%
iter 2020: loss 3.7466, time 1131.80ms, mfu 28.06%
iter 2030: loss 3.6505, time 1522.71ms, mfu 27.76%
iter 2040: loss 3.8394, time 1352.04ms, mfu 27.80%
iter 2050: loss 3.6160, time 1190.53ms, mfu 28.22%
iter 2060: loss 3.5682, time 1213.81ms, mfu 28.54%
iter 2070: loss 3.4221, time 1550.76ms, mfu 28.15%
iter 2080: loss 3.5273, time 1120.51ms, mfu 28.73%
iter 2090: loss 3.8173, time 1402.43ms, mfu 28.58%
iter 2100: loss 3.4975, time 1257.72ms, mfu 28.75%
iter 2110: loss 3.7190, time 1218.08ms, mfu 29.01%
iter 2120: loss 3.8277, time 1210.38ms, mfu 29.26%
iter 2130: loss 3.5701, time 1366.42ms, mfu 29.12%
iter 2140: loss 3.6041, time 1214.61ms, mfu 29.35%
iter 2150: loss 3.5972, time 1401.70ms, mfu 29.13%
iter 2160: loss 3.8043, time 1056.04ms, mfu 29.83%
iter 2170: loss 3.6130, time 1199.33ms, mfu 30.03%
iter 2180: loss 3.4655, time 1335.83ms, mfu 29.88%
iter 2190: loss 3.6375, time 1262.26ms, mfu 29.91%
iter 2200: loss 3.6973, time 1210.03ms, mfu 30.07%
iter 2210: loss 3.5898, time 1330.80ms, mfu 29.93%
iter 2220: loss 3.4973, time 1437.08ms, mfu 29.59%
iter 2230: loss 3.7863, time 1321.90ms, mfu 29.51%
iter 2240: loss 3.6774, time 1376.63ms, mfu 29.33%
iter 2250: loss 3.5950, time 1236.00ms, mfu 29.48%
iter 2260: loss 3.6505, time 1391.21ms, mfu 29.27%
iter 2270: loss 3.6800, time 1137.14ms, mfu 29.70%
iter 2280: loss 3.3743, time 1653.16ms, mfu 29.04%
iter 2290: loss 3.4631, time 1008.06ms, mfu 29.91%
iter 2300: loss 3.6250, time 1200.55ms, mfu 30.10%
iter 2310: loss 3.6648, time 1252.18ms, mfu 30.13%
iter 2320: loss 3.6074, time 1171.40ms, mfu 30.37%
iter 2330: loss 3.5180, time 1262.54ms, mfu 30.36%
iter 2340: loss 3.3882, time 1176.86ms, mfu 30.56%
iter 2350: loss 3.5283, time 1097.07ms, mfu 30.98%
iter 2360: loss 3.6064, time 1136.48ms, mfu 31.24%
iter 2370: loss 3.1837, time 1400.68ms, mfu 30.83%
iter 2380: loss 3.4989, time 1306.09ms, mfu 30.67%
iter 2390: loss 3.5069, time 1181.10ms, mfu 30.83%
iter 2400: loss 3.4616, time 1191.86ms, mfu 30.95%
iter 2410: loss 3.7055, time 1250.00ms, mfu 30.90%
iter 2420: loss 3.5563, time 1513.26ms, mfu 30.33%
iter 2430: loss 3.5583, time 1004.45ms, mfu 31.09%
iter 2440: loss 3.3704, time 1113.09ms, mfu 31.41%
iter 2450: loss 3.5070, time 1247.55ms, mfu 31.32%
iter 2460: loss 3.6678, time 1060.48ms, mfu 31.79%
iter 2470: loss 3.6871, time 1336.72ms, mfu 31.46%
iter 2480: loss 3.6779, time 1098.67ms, mfu 31.78%
iter 2490: loss 3.5526, time 1501.30ms, mfu 31.15%
iter 2500: loss 3.4525, time 1260.35ms, mfu 31.06%
iter 2510: loss 3.6352, time 1052.82ms, mfu 31.57%
iter 2520: loss 3.5838, time 1253.89ms, mfu 31.46%
iter 2530: loss 3.5391, time 1379.89ms, mfu 31.07%
iter 2540: loss 3.5915, time 1243.37ms, mfu 31.03%
iter 2550: loss 3.4484, time 1359.83ms, mfu 30.73%
iter 2560: loss 3.6849, time 1181.09ms, mfu 30.89%
iter 2570: loss 3.7200, time 1354.47ms, mfu 30.61%
iter 2580: loss 3.4307, time 1137.43ms, mfu 30.90%
iter 2590: loss 3.6178, time 1189.22ms, mfu 31.02%
iter 2600: loss 3.4804, time 1258.69ms, mfu 30.95%
iter 2610: loss 3.6327, time 1271.58ms, mfu 30.85%
iter 2620: loss 3.4520, time 1457.74ms, mfu 30.38%
iter 2630: loss 3.3843, time 1064.09ms, mfu 30.92%
iter 2640: loss 3.5361, time 1221.08ms, mfu 30.95%
iter 2650: loss 3.5155, time 1628.17ms, mfu 30.20%
iter 2660: loss 3.4446, time 1251.26ms, mfu 30.23%
iter 2670: loss 3.3355, time 1175.15ms, mfu 30.45%
iter 2680: loss 3.5059, time 1169.04ms, mfu 30.67%
iter 2690: loss 3.5783, time 1078.63ms, mfu 31.13%
iter 2700: loss 3.5445, time 1143.69ms, mfu 31.35%
iter 2710: loss 3.1753, time 1382.17ms, mfu 30.98%
iter 2720: loss 3.5066, time 1180.74ms, mfu 31.11%
iter 2730: loss 3.5438, time 1145.94ms, mfu 31.32%
iter 2740: loss 3.3488, time 1194.40ms, mfu 31.38%
iter 2750: loss 3.4947, time 1288.99ms, mfu 31.20%
iter 2760: loss 3.5527, time 1134.92ms, mfu 31.44%
iter 2770: loss 3.5622, time 1167.73ms, mfu 31.56%
iter 2780: loss 3.4994, time 1184.00ms, mfu 31.63%
iter 2790: loss 3.5705, time 1155.09ms, mfu 31.76%
iter 2800: loss 3.6212, time 1126.65ms, mfu 31.97%
iter 2810: loss 3.3885, time 1230.01ms, mfu 31.87%
iter 2820: loss 3.4554, time 1303.10ms, mfu 31.61%
iter 2830: loss 3.5389, time 1189.97ms, mfu 31.66%
iter 2840: loss 3.5041, time 1055.44ms, mfu 32.10%
iter 2850: loss 3.6196, time 1197.27ms, mfu 32.08%
iter 2860: loss 3.5127, time 1089.33ms, mfu 32.37%
iter 2870: loss 3.4557, time 1517.32ms, mfu 31.64%
iter 2880: loss 3.4156, time 1150.74ms, mfu 31.79%
iter 2890: loss 3.3804, time 1354.25ms, mfu 31.43%
iter 2900: loss 3.4582, time 1003.59ms, mfu 32.08%
iter 2910: loss 3.3637, time 1457.06ms, mfu 31.49%
iter 2920: loss 3.5195, time 1031.94ms, mfu 32.04%
iter 2930: loss 3.4811, time 973.24ms, mfu 32.75%
iter 2940: loss 3.4098, time 1198.14ms, mfu 32.66%
iter 2950: loss 3.4651, time 1321.99ms, mfu 32.28%
iter 2960: loss 3.4922, time 1081.49ms, mfu 32.57%
iter 2970: loss 3.5319, time 1141.33ms, mfu 32.66%
iter 2980: loss 3.4515, time 1430.81ms, mfu 32.06%
iter 2990: loss 3.4622, time 1311.46ms, mfu 31.76%
iter 3000: loss 3.6703, time 77107.92ms, mfu 28.63%
iter 3010: loss 3.1865, time 1378.36ms, mfu 28.53%
iter 3020: loss 3.3779, time 936.51ms, mfu 29.75%
iter 3030: loss 3.6256, time 1260.95ms, mfu 29.80%
iter 3040: loss 3.3414, time 1142.08ms, mfu 30.16%
iter 3050: loss 3.7540, time 1256.73ms, mfu 30.18%
iter 3060: loss 3.3085, time 1163.29ms, mfu 30.44%
iter 3070: loss 3.4815, time 1347.36ms, mfu 30.22%
iter 3080: loss 3.4198, time 1300.40ms, mfu 30.13%
iter 3090: loss 3.4712, time 1266.53ms, mfu 30.13%
iter 3100: loss 3.4701, time 1077.52ms, mfu 30.65%
iter 3110: loss 3.4098, time 1198.73ms, mfu 30.77%
iter 3120: loss 3.3177, time 1331.95ms, mfu 30.55%
iter 3130: loss 3.2865, time 1581.56ms, mfu 29.91%
iter 3140: loss 3.3330, time 1241.86ms, mfu 29.99%
iter 3150: loss 3.3465, time 1298.03ms, mfu 29.93%
iter 3160: loss 3.5724, time 1155.96ms, mfu 30.23%
iter 3170: loss 3.4800, time 1132.40ms, mfu 30.58%
iter 3180: loss 3.4549, time 1380.49ms, mfu 30.28%
iter 3190: loss 3.4909, time 1113.94ms, mfu 30.67%
iter 3200: loss 3.5090, time 1320.37ms, mfu 30.49%
iter 3210: loss 3.4556, time 1155.54ms, mfu 30.74%
iter 3220: loss 3.4105, time 1058.13ms, mfu 31.27%
iter 3230: loss 3.6115, time 1087.20ms, mfu 31.65%

